track,lat,lon
338_1147_0,48.15906,17.046915
338_1147_0,48.159062,17.04693
338_1147_0,48.159061,17.046951
338_1147_0,48.159008,17.047641
338_1147_0,48.158993,17.047937
338_1147_0,48.158995,17.047971
338_1147_0,48.159003,17.048012
338_1147_0,48.159036,17.048135
338_1147_0,48.159056,17.048197
338_1147_0,48.159064,17.048221
338_1147_0,48.15916,17.048512
338_1147_0,48.159215,17.048659
338_1147_0,48.159228,17.048695
338_1147_0,48.159237,17.048736
338_1147_0,48.159242,17.048775
338_1147_0,48.159241,17.048814
338_1147_0,48.159231,17.048914
338_1147_0,48.1592,17.049205
338_1147_0,48.159119,17.049946
338_1147_0,48.159087,17.050302
338_1147_0,48.15907,17.05042
338_1147_0,48.158999,17.05047
338_1147_0,48.158929,17.050519
338_1147_0,48.158762,17.050641
338_1147_0,48.15886,17.050959
338_1147_0,48.158922,17.050916
338_1147_0,48.159141,17.050769
338_1147_0,48.158922,17.050916
338_1147_0,48.15886,17.050959
338_1147_0,48.158947,17.051242
338_1147_0,48.158965,17.051301
338_1147_0,48.158895,17.051351
338_1147_0,48.158634,17.051535
338_1147_0,48.158428,17.051679
338_1147_0,48.157511,17.052347
338_1147_0,48.15735,17.052465
338_1147_0,48.157277,17.052516
338_1147_0,48.157026,17.052682
338_1147_0,48.156863,17.052797
338_1147_0,48.15648,17.053067
338_1147_0,48.156462,17.053079
338_1147_0,48.155939,17.053455
338_1147_0,48.155731,17.053605
338_1147_0,48.155117,17.054046
338_1147_0,48.154769,17.054342
338_1147_0,48.154638,17.05449
338_1147_0,48.154566,17.054585
338_1147_0,48.154394,17.054862
338_1147_0,48.154323,17.055002
338_1147_0,48.15424,17.055195
338_1147_0,48.154184,17.055353
338_1147_0,48.154066,17.055783
338_1147_0,48.153741,17.057165
338_1147_0,48.153493,17.058172
338_1147_0,48.153486,17.058202
338_1147_0,48.153349,17.058789
338_1147_0,48.153275,17.059096
338_1147_0,48.153249,17.059207
338_1147_0,48.153152,17.059687
338_1147_0,48.1531,17.059875
338_1147_0,48.153065,17.059982
338_1147_0,48.153011,17.060128
338_1147_0,48.152935,17.060291
338_1147_0,48.152851,17.060455
338_1147_0,48.152791,17.060561
338_1147_0,48.152686,17.060704
338_1147_0,48.152549,17.060858
338_1147_0,48.15252,17.060889
338_1147_0,48.152436,17.060967
338_1147_0,48.152348,17.061035
338_1147_0,48.152256,17.061105
338_1147_0,48.152078,17.061227
338_1147_0,48.151213,17.061802
338_1147_0,48.150507,17.062281
338_1147_0,48.150433,17.062332
338_1147_0,48.150317,17.062409
338_1147_0,48.150131,17.062501
338_1147_0,48.149985,17.062574
338_1147_0,48.149838,17.062617
338_1147_0,48.149373,17.062937
338_1147_0,48.149222,17.063075
338_1147_0,48.149064,17.06319
338_1147_0,48.148986,17.063242
338_1147_0,48.148835,17.06338
338_1147_0,48.148725,17.063501
338_1147_0,48.14863,17.06363
338_1147_0,48.148578,17.06371
338_1147_0,48.148513,17.063832
338_1147_0,48.148453,17.063949
338_1147_0,48.148326,17.064198
338_1147_0,48.148278,17.064319
338_1147_0,48.148246,17.064426
338_1147_0,48.148215,17.064543
338_1147_0,48.148202,17.064599
338_1147_0,48.148192,17.064658
338_1147_0,48.148178,17.06478
338_1147_0,48.148175,17.065152
338_1147_0,48.148174,17.06551
338_1147_0,48.148171,17.066033
338_1147_0,48.14817,17.066266
338_1147_0,48.148166,17.06779
338_1147_0,48.148156,17.069058
338_1147_0,48.148141,17.070099
338_1147_0,48.148124,17.070506
338_1147_0,48.148114,17.070717
338_1147_0,48.148095,17.070962
338_1147_0,48.148015,17.072042
338_138_0,48.158929,17.046365
338_138_0,48.158948,17.046687
338_138_0,48.158952,17.046728
338_138_0,48.158957,17.046752
338_138_0,48.158964,17.046764
338_138_0,48.159042,17.046883
338_138_0,48.159054,17.0469
338_138_0,48.15906,17.046915
338_138_0,48.159062,17.04693
338_138_0,48.159061,17.046951
338_138_0,48.159008,17.047641
338_138_0,48.158993,17.047937
338_138_0,48.158995,17.047971
338_138_0,48.159003,17.048012
338_138_0,48.159036,17.048135
338_138_0,48.159056,17.048197
338_138_0,48.159064,17.048221
338_138_0,48.15916,17.048512
338_138_0,48.159215,17.048659
338_138_0,48.159228,17.048695
338_138_0,48.159237,17.048736
338_138_0,48.159242,17.048775
338_138_0,48.159241,17.048814
338_138_0,48.159231,17.048914
338_138_0,48.1592,17.049205
338_138_0,48.159119,17.049946
338_138_0,48.159087,17.050302
338_138_0,48.15907,17.05042
338_138_0,48.158999,17.05047
338_138_0,48.158929,17.050519
338_138_0,48.158762,17.050641
338_138_0,48.15886,17.050959
338_138_0,48.158922,17.050916
338_138_0,48.159083,17.050808
338_138_0,48.158922,17.050916
338_138_0,48.15886,17.050959
338_138_0,48.158947,17.051242
338_138_0,48.158965,17.051301
338_138_0,48.158895,17.051351
338_138_0,48.158634,17.051535
338_138_0,48.158428,17.051679
338_138_0,48.157511,17.052347
338_138_0,48.15735,17.052465
338_138_0,48.157277,17.052516
338_138_0,48.157026,17.052682
338_138_0,48.156863,17.052797
338_138_0,48.15648,17.053067
338_138_0,48.156462,17.053079
338_138_0,48.155939,17.053455
338_138_0,48.155731,17.053605
338_138_0,48.155117,17.054046
338_138_0,48.154769,17.054342
338_138_0,48.154638,17.05449
338_138_0,48.154566,17.054585
338_138_0,48.154394,17.054862
338_138_0,48.154323,17.055002
338_138_0,48.15424,17.055195
338_138_0,48.154184,17.055353
338_138_0,48.154066,17.055783
338_138_0,48.153741,17.057165
338_138_0,48.153493,17.058172
338_138_0,48.153486,17.058202
338_138_0,48.153349,17.058789
338_138_0,48.153275,17.059096
338_138_0,48.153249,17.059207
338_138_0,48.153152,17.059687
338_138_0,48.1531,17.059875
338_138_0,48.153065,17.059982
338_138_0,48.153011,17.060128
338_138_0,48.152935,17.060291
338_138_0,48.152851,17.060455
338_138_0,48.152791,17.060561
338_138_0,48.152686,17.060704
338_138_0,48.152549,17.060858
338_138_0,48.15252,17.060889
338_138_0,48.152436,17.060967
338_138_0,48.152348,17.061035
338_138_0,48.152256,17.061105
338_138_0,48.152078,17.061227
338_138_0,48.151213,17.061802
338_138_0,48.150507,17.062281
338_138_0,48.150433,17.062332
338_138_0,48.150317,17.062409
338_138_0,48.150131,17.062501
338_138_0,48.149985,17.062574
338_138_0,48.149838,17.062617
338_138_0,48.149373,17.062937
338_138_0,48.149222,17.063075
338_138_0,48.149064,17.06319
